"Name","CostcoPrice","EbayPrice","EbayStDev","AmazonPrice","AmazonStDev"
"Igloo 54qt Stainless Steel Cooler","134.99",199.56900000000002,54.88636523764349,42709.07571428572,85948.10263710003
"Austin Worklife Office 66"" Pedestal Desk","2,599.99",2177.306666666667,752.1707497784145,null,null
"iBUYPOWER C-i12 Gaming Desktop - 7th Generation Intel Core i5 - 2GB NVIDIA GTX 1050 Graphics","899.99",null,null,null,null
"Oval Pink Sapphire and Diamond 14kt Rose Gold Ring","1,999.99",965.6958064516128,1482.9307844956872,310.25,138.60352628991802
"Bevelle 6-piece Cal King Bedroom Set","2,999.99",null,null,null,null
"Mikasa Kim Parker Provence Garden 16-pc Dinnerware Set","49.99",61.495000000000005,3.504999999999999,109.33333333333333,53.02410353372847
"Innovera Remanufactured For Epson T0603 Magenta Ink Cartridge 3PK","24.59",null,null,11.5,0.5
"11' LED Solar Round Offset Umbrella by Seasons Sentry","799.99",null,null,null,null
"Popcornopolis 2 Gallon Gourmet Popcorn Party Tin: Red Velvet\t","29.99",37.45,0.5500000000000007,47,0
"Cross Edge Gel Pen, 0.7mm Point, Medium, Blue Barrel, Black Ink","33.39",39.95,0,null,null
"Niko 8-piece Modular Seating Set in Slate by Sirio","2,499.99",null,null,null,null
"Innovera Remanufactured For Dell 2335 High Yield Black Toner Cartridge","76.99",119.54,0,48.5,24.5
"Garmin DriveSmart 50LMTHD 5"" Touchscreen GPS with HD Traffic Receiver","199.99",253.15,11.185313585233096,null,null
"Hammermill Great White 100% Recycled Paper, Letter, 20lb, 92-Bright, 5,000ct HAM 86790","62.99",null,null,null,null
"San Francisco Choose 4 Explorer ePass ","49.99",null,null,null,null
"Whirlpool 6.7CuFt ELECTRIC Double Oven Range with True Convection Cooking in Black Ice or White Ice WGE745C0FE, WGE745C0FH","1,249.99",null,null,null,null
"Hirsh Mobile Pedestal 2-drawer File, White","129.99",null,null,null,null
"Pre-Order Crazy in Love Floral Arrangement","79.99",null,null,null,null
"Dutailier Jenny Beige Multiposition Lock and Recline Glider and Ottoman","599.99",null,null,777,0
"creative bioscience Pure Organic Fiber Powder, 138 Doses","19.97",23.9375,1.4719098987370118,982.3333333333334,713.7255930833797
"Rug Doctor Deep Carpet Cleaner","249.99",304.4479629629629,107.31341429006545,225.62375,230.76974118899884
"Sleep Science 9"" King Latex GL Mattress","2,199.99",null,null,169.99,0
"Merritt 42"" Round Conference Table","189.99",514.64,281.23,155,12.192894105447921
"Rogaine for Men Hair Regrowth Treatment Extra Strength 4-pack Foam Solution","49.99",58.75,1.0095873744588288,43.5,5.5
"Amanda King Upholstered Headboard - Taupe","279.99",null,null,202,0
"Scarborough 6-piece King Bedroom Set","3,299.99",null,null,null,null
"Lockleigh 3-piece Top Grain Leather Living Room Set","2,699.99",null,null,null,null
"Round Brilliant 3.00 ctw VS2 Clarity, I Color Diamond 14kt White Gold Bracelet","2,699.99",null,null,null,null
"Whirlpool 5.8CuFt GAS Freestanding Range with Center Burner in Stainless Steel","949.99",null,null,null,null
"Daniele Inc. Mortadella","76.99",94.99,0,25,32.19937887599697
"Lifetime Glider Bench","159.99",218.70714285714288,33.250810823319235,110.865,62.864999999999995
"FireKing 4-Drawer Insulated File Legal Vertical Parchment FIR 42125CPA","2,099.99",2348.19,0,null,null
"Greenway Home Products Stainless Steel Drying Rack with Mesh Shelf","52.99",null,null,67.36500000000001,1.634999999999998
"Lighting by Pecaso Metro 34"" Chandelier ","1,399.99",null,null,null,null
"Kirkland Signature Supreme Diapers Size 2; 174ct","29.99",40.1975,8.548734921027789,41.89692307692308,6.127836090165026
"vitafusion PreNatal, 180 Gummies","17.99",22.497857142857146,2.036240157641489,46,32.59601202601324
"Richmond 5-piece Queen Sleigh Bedroom Set","2,399.99",null,null,null,null
"Pendleton 6-piece Cal King Storage Bedroom Set","3,299.99",null,null,null,null
"Professional Air Grid SPACE® Chair","199.99",343.9572222222222,159.51364221719425,null,null
"Austin Worklife Office Wall T-Desk","3,299.99",4063.84,0,null,null
"SleepBetter™ CoolZone® Memory Foam Standard Pillow","44.99",null,null,null,null
"Oval Cut Blue Sapphire & Diamond Earrings Platinum","28,999.99",null,null,null,null
"Hudson 6-piece Cal King Storage Bedroom Set","2,699.99",null,null,null,null
"Paper Mate Liquid Flair® Porous-Point Pens, Medium Point, Assorted Colors, 8ct ","12.99",16.3,1.2100000000000009,21.33,8.21489297962345
